key,0,1,2,3
#,Icon,Image,Name,Description
int32,Image,Image,str,str
0,,,"",""
1,"ui/icon/070000/070501.tex","ui/icon/070000/070401.tex","C'est du propre<Indent/>!","Quelle surprise de découvrir que Silkie, l'ancien familier de ménage du palais sacré d'Ul'dah, appartenait en réalité à Mère<Indent/>! Papashan l'ayant bien connue de son vivant, nous sommes allée l'interroger à ce sujet (évidemment de façon détournée, sans rien lui révéler de nos virées souterraines).
Selon ses dires, Mère était très à cheval sur la propreté, au point que dès son arrivée au palais, elle s'était mise à en éponger les coins et recoins elle-même. Catastrophées à l'idée que l'épouse du sultan se salisse les mains, ses servantes n'avaient eu d'autre choix que de soustraire à sa vue tout le nécessaire de nettoyage. Cependant, cela n'arrêta pas leur maîtresse, qui engagea alors un mage sharlayanais pour lui apprendre à créer un familier de ménage géant<Indent/>: Silkie. Dès qu'il apercevait la moindre trace de crasse, le rongeur se ruait aussitôt dessus, quitte à bousculer au passage quelques casques d'argent... Il était apparemment devenu une attraction locale lorsqu'un beau jour, on ne sait trop quand, il disparut du palais. Le conflit avec les monétaristes s'in<SoftHyphen/>ten<SoftHyphen/>si<SoftHyphen/>fiant, on peut imaginer que Mère lui ait confié la garde de son jardin secret, sachant qu'elle aurait moins le temps d'y flâner.
Quelle hardiesse tout de même<Indent/>! C'était déjà osé de sa part de créer un tel familier, mais qu'elle l'ait en plus doté d'une force prodigieuse... C'est le pompon, pourrait-on dire<Indent/>!"
2,"ui/icon/070000/070502.tex","ui/icon/070000/070402.tex","Une question de fierté","Dans l'espoir de trouver quelque ren<SoftHyphen/>sei<SoftHyphen/>gne<SoftHyphen/>ment utile, nous avons épluché les documents d'archives du palais concernant l'histoire de Sil'dih. Hélas, les rapports officiels contiennent, sans surprise, très peu d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions nouvelles. Notre seule découverte intéressante est le témoignage d'un soldat uldien ayant combattu avec les Amalj'aa durant la grande chasse aux zombis. Il y décrit une coopération loin d'être évidente, la faute à des divergences majeures dans la façon d'approcher le combat.
À l'époque, les canalisations sildiennes étaient envahies par d'innombrables zombis de taille et de force variables. Du point de vue du soldat, il était logique de s'attaquer en priorité aux plus faibles afin d'élaguer rapidement les rangs ennemis. Or, les Amalj'aa ne l'entendaient pas de cette oreille, et allaient systématiquement vers l'adversaire le plus coriace du lot en premier. Il leur demanda pourquoi<Indent/>; ils répondirent qu'il s'agissait pour eux d'une manière d'afficher leur force, et que l'approche inverse ne pouvait que trahir un manque de confiance en soi.
Chacun aurait finalement respecté l'opinion de l'autre, et combattu selon sa préférence<Indent/>; autrement dit, les Uldiens ont d'abord attaqué les zombis les plus faibles. Nous ne savons pas si cette information s'avérera utile, mais nous tenions tout de même à la noter, à tout hasard..."
3,"ui/icon/070000/070503.tex","ui/icon/070000/070403.tex","À deux, au soleil","Lui était le sultan d'Ul'dah. Elle, la fille d'une modeste famille de marchands. Leur rencontre eut lieu lors d'un banquet d'affaires organisé au palais<Indent/>; d'après eux, ce fut aussitôt le coup de foudre. Romantique, n'est-ce pas<Indent/>? Et ce n'est pas tout<Indent/>: avant de s'unir, nos parents avaient, semble-t-il, pris l'habitude de se retrouver en privé dans leur “jardin secret”<Indent/>; un lieu pro<SoftHyphen/>fon<SoftHyphen/>dé<SoftHyphen/>ment enfoui sous la terre, mais pourtant ensoleillé, et même fleuri... exactement comme le coin de verdure que nous avons découvert au fond des canalisations sildiennes.
Par la suite, leurs fiançailles furent annoncées, et beaucoup d'Uldiens s'interrogèrent sur le lieu de demande en mariage du sultan... Des petits malins en auraient même profité pour prendre les paris, preuve s'il en est que nos concitoyens ont toujours eu le commerce dans le sang<Indent/>! Malgré tout, personne ne découvrit jamais l'endroit en question, et on comprend facilement pourquoi.
Pour notre part, nous retiendrons cette image<Indent/>: celle de Père et de Mère passant un moment privilégié, dans leur petit coin de paradis caché sous le sable ardent du Thanalan... Rien que d'y penser, nous en avons le sourire aux lèvres. Après tant d'années, il était temps que leur souvenir nous évoque enfin des sentiments joyeux..."
4,"ui/icon/070000/070504.tex","ui/icon/070000/070404.tex","La clef des souvenirs","Pour notre cinquième anniversaire, nos parents nous offrirent une clef en argent, sans toutefois nous en préciser l'utilité exacte. “Lorsque tu seras devenue une grande et gente dame, nous t'emmènerons découvrir un lieu qui nous est cher”, disait Mère. “Un lieu chargé d'histoire uldienne”, renchérissait Père. Pour l'enfant que nous étions, c'était comme recevoir un cadeau sans être autorisée à l'ouvrir – assez frustrant, il faut bien le dire... Néanmoins, nous gardons, avec le recul, un souvenir ému de ce moment.
Quelque temps plus tard, nos parents rejoignaient tous deux le royaume de Thal<Indent/>; une séparation brutale, qui nous laissait seule et désemparée face aux res<SoftHyphen/>pon<SoftHyphen/>sa<SoftHyphen/>bi<SoftHyphen/>li<SoftHyphen/>tés de sultane qui nous incombaient désormais. Nous avancions, pleine de tristesse et de doutes, comme à travers un désert au sable tantôt brûlant, tantôt glacial. La clef<Indent/>? La promesse de nos parents<Indent/>? Ce lieu si cher à leurs yeux<Indent/>? Oubliés, perdus dans un coin de notre mémoire.
Pourquoi nous avoir fait un tel cadeau, et si précocement<Indent/>? Pressentaient-ils le malheur qui allait s'abattre sur eux<Indent/>? Ou y avait-il une autre raison que nous ignorons<Indent/>? Nos parents ne sont plus là pour nous répondre, mais nous avons malgré tout une certitude<Indent/>: cette clef n'est pas entre nos mains par hasard."
5,"ui/icon/070000/070505.tex","ui/icon/070000/070405.tex","Un combat politique","Si l'on admet que le camp de Zahar'ak, construit par les Amalj'aa à l'époque de la grande chasse aux zombis, était leur fief principal, alors ce que nous avons découvert dans les canalisations sildiennes était sans doute un avant-poste. Une découverte loin d'être anodine, puisque c'est la clef de nos parents qui permet d'y accéder<Indent/>; et que le journal laissé par Père après son décès mentionnait l'existence d'une “preuve formelle de notre alliance passée avec les Amalj'aa”.
Tout au long de sa vie, Père a été un fervent opposant à la loi bannissant les hommes-bêtes de la cité. Ce sont les monétaristes qui, dans leur propre intérêt, en avaient forcé la promulgation, contre sa volonté de sultan et avec l'appui du Cartel des Scorpions. À ce que l'on raconte, Père avait tenté de mobiliser l'opinion publique contre ladite loi, s'engageant à présenter non pas des écrits ou des rapports facilement falsifiables, mais une preuve tangible et incontestable d'un combat mené aux côtés des Amalj'aa, censée faire pencher la balance en faveur de la réconciliation. Hélas, un “accident” l'emporta avant qu'il n'achève sa lutte.
Quelle était cette “preuve formelle” et où se trouve-t-elle<Indent/>? Aujourd'hui encore, nous sommes incapable de répondre à ces questions. Peut-être découvrirons-nous des indices au sein de ce fameux avant-poste...
À y repenser, nous n'avons jamais vraiment pu aider nos parents... Mais à présent que la paix avec les Amalj'aa semble plus que jamais à portée de main, nous aimerions pouvoir accomplir l'idéal de Père à sa place. Encore faut-il mettre la main sur cette “preuve”..."
6,"ui/icon/070000/070506.tex","ui/icon/070000/070406.tex","Le poids du péché","Quelle macabre découverte que ce guerrier amalj'aa enfermé dans son sarcophage... Sans doute a-t-il subi, durant la chasse aux zombis, une blessure par laquelle le mal s'est insinué dans sa chair...
La poudre putréfactrice, préparation interdite permettant de ranimer les morts, fut mise au point jadis par des occultistes uldiens. Notre Cité l'employa contre sa rivale Sil'dih<Indent/>; comble de la perfidie, le sultan Sasagan III accusa l'état-major sildien d'avoir concocté la poudre pour transformer ses propres citoyens en soldats serviles. En fin de compte, il fut traduit en justice par les Thorne, lors d'un procès qui signa la fin de la première dynastie des Ul. Cependant, le mensonge d'État lui survécut, et perdure encore aujourd'hui.
Cette histoire falsifiée est la résultante de volontés multiples<Indent/>: celle des Ul, qui se seraient accrochés au pouvoir par tous les moyens, et celle de l'ordre de Nald'thal, qui entretenait des liens étroits avec les occultistes. Évidemment, un grand nombre d'Uldiens auraient également refusé d'admettre que leur cité s'est construite sur les ruines d'une autre, au prix d'un ignoble crime de guerre.
Pourtant, nous avons la conviction que l'avenir ne s'envisage qu'en raccord avec le passé. L'image de cet Amalj'aa déchu nous rappelle à nous, descendante des Ul, la res<SoftHyphen/>pon<SoftHyphen/>sa<SoftHyphen/>bi<SoftHyphen/>li<SoftHyphen/>té qui pèse sur nos épaules. À l'instar d'Ishgard, le moment est peut-être venu pour Ul'dah de renouer avec toute son histoire, aussi douloureuse soit-elle."
7,"ui/icon/070000/070507.tex","ui/icon/070000/070407.tex","Des prières au parfum de myrrhe","Nous voulions nous enquérir auprès des Amalj'aa d'un sujet précis concernant les canalisations sildiennes, mais nous ne sommes pas parvenue à l'aborder durant la dernière réunion générale. S'il venait à s'ébruiter que la sultane d'Ul'dah s'échappe en secret de ses appartements pour mener une enquête à l'abri des regards, cela aurait des répercussions fâcheuses sur notre garde du corps. Nous devons rester aussi discrète que possible.
Ainsi, après la fin de la réunion, nous avons opté pour une con<SoftHyphen/>ver<SoftHyphen/>sa<SoftHyphen/>tion privée avec le chef amalj'aa, que nous avons habilement fait dévier des banalités d'usage à la question des rites funéraires pratiqués par sa tribu. Nous lui avons appris qu'un sarcophage renfermant un guerrier amalj'aa zombifié avait été découvert, puis nous lui avons demandé de bien vouloir nous enseigner la manière adéquate d'accompagner son esprit dans l'au-delà. Visiblement interloqué, le chef nous a répondu qu'il ne fallait surtout pas toucher directement le cercueil, car cela perturberait le sommeil du guerrier. Voici la procédure à suivre durant la prière telle qu'il nous l'a décrite avec ses propres mots<Indent/>: “Tout d'abord, devant le sarcophage inclinez-vous. Ensuite, avec respect recueillez-vous, puis des grandes victoires du héros trépassé réjouissez-vous. Enfin, pour lui dire adieu agenouillez-vous.” En guise de conclusion à ce rite traditionnel créé pour faire honneur aux victimes des champs de bataille, le chef a précisé qu'il fallait brûler de la résine de myrrhe afin de purifier l'âme du défunt.
En l'écoutant at<SoftHyphen/>ten<SoftHyphen/>ti<SoftHyphen/>ve<SoftHyphen/>ment, nous avons réalisé que notre ignorance des Amalj'aa et de leur culture était malheureusement bien plus grande que nous ne le pensions. Nous tâcherons de combler ce manquement de notre part dès que l'occasion se présentera."
