key,0,1,2,3,4,5,6,7,8,9
#,Category,SubType,Image,,UnlockCondition,,,,SortKey,Name
int32,byte,byte,Image,byte,BannerCondition,uint16,uint16,byte,uint16,str
0,0,0,,0,"BannerCondition#1",0,0,0,0,"Nichts"
1,2,0,"ui/icon/194000/194002.tex",0,"BannerCondition#1",0,0,1,1,"Glanz"
2,2,0,"ui/icon/194000/194003.tex",0,"BannerCondition#1",0,0,1,6,"Vierecke"
3,2,0,"ui/icon/194000/194004.tex",0,"BannerCondition#1",0,0,1,7,"Wassertropfen"
4,2,0,"ui/icon/194000/194005.tex",0,"BannerCondition#1",0,0,1,8,"Schachbrett"
5,2,0,"ui/icon/194000/194006.tex",0,"BannerCondition#1",0,0,1,2,"Gittermuster"
6,2,0,"ui/icon/194000/194007.tex",0,"BannerCondition#1",0,0,1,3,"Schrägstriche"
7,2,0,"ui/icon/194000/194008.tex",0,"BannerCondition#1",0,0,1,4,"Diagonale Trennung"
8,2,0,"ui/icon/194000/194009.tex",0,"BannerCondition#1",0,0,1,5,"Dreiecke"
9,2,0,"ui/icon/194000/194010.tex",0,"BannerCondition#1",0,0,1,10,"Pergament"
10,2,0,"ui/icon/194000/194011.tex",0,"BannerCondition#1",0,0,1,9,"Verzierte Ecken"
11,1,0,"ui/icon/195000/195002.tex",0,"BannerCondition#1",0,0,1,1,"Schattierung"
12,1,0,"ui/icon/195000/195003.tex",0,"BannerCondition#1",0,0,1,2,"Leuchtender Rand"
13,1,0,"ui/icon/195000/195004.tex",0,"BannerCondition#1",0,0,1,3,"Violette Tupfen"
14,1,0,"ui/icon/195000/195005.tex",0,"BannerCondition#1",0,0,1,4,"Notizbuch"
15,1,0,"ui/icon/195000/195006.tex",0,"BannerCondition#1",0,0,1,5,"Unordnung"
16,1,0,"ui/icon/195000/195007.tex",0,"BannerCondition#1",0,0,1,6,"Äthergramme"
17,1,0,"ui/icon/195000/195008.tex",0,"BannerCondition#1",0,0,1,7,"Pergament"
18,1,0,"ui/icon/195000/195009.tex",0,"BannerCondition#1",0,0,1,8,"Pinselstriche"
19,1,0,"ui/icon/195000/195010.tex",0,"BannerCondition#1",0,0,1,9,"Metallplatte"
20,1,0,"ui/icon/195000/195011.tex",0,"BannerCondition#1",0,0,1,10,"Schriften"
21,3,0,"ui/icon/197000/197002.tex",0,"BannerCondition#1",0,0,1,3,"Banner"
22,3,0,"ui/icon/197000/197003.tex",0,"BannerCondition#1",0,0,1,4,"Erinnerung"
23,3,0,"ui/icon/197000/197004.tex",0,"BannerCondition#1",0,0,1,5,"Metallkreis"
24,3,0,"ui/icon/197000/197005.tex",0,"BannerCondition#1",0,0,1,6,"Verteidiger-Banner"
25,3,0,"ui/icon/197000/197006.tex",0,"BannerCondition#1",0,0,1,8,"Angreifer-Banner"
26,3,0,"ui/icon/197000/197007.tex",0,"BannerCondition#1",0,0,1,7,"Heiler-Banner"
27,3,0,"ui/icon/197000/197008.tex",0,"BannerCondition#1",0,0,1,1,"Brauner Rahmen"
28,3,0,"ui/icon/197000/197009.tex",0,"BannerCondition#1",0,0,1,2,"Geprägter Rahmen"
29,3,0,"ui/icon/197000/197010.tex",0,"BannerCondition#1",0,0,1,9,"Memo"
30,3,0,"ui/icon/197000/197011.tex",0,"BannerCondition#1",0,0,1,10,"Unordnung"
31,4,0,"ui/icon/198000/198002.tex",0,"BannerCondition#1",0,0,1,3,"Schwarz"
32,4,0,"ui/icon/198000/198003.tex",0,"BannerCondition#1",0,0,1,2,"Weiß"
33,4,0,"ui/icon/198000/198004.tex",0,"BannerCondition#1",0,0,1,5,"Geprägte Edelsteine"
34,4,0,"ui/icon/198000/198005.tex",0,"BannerCondition#1",0,0,1,4,"Einfache Edelsteine"
35,4,0,"ui/icon/198000/198006.tex",0,"BannerCondition#1",0,0,1,6,"Limsa Lominsa"
36,4,0,"ui/icon/198000/198007.tex",0,"BannerCondition#1",0,0,1,7,"Gridania"
37,4,0,"ui/icon/198000/198008.tex",0,"BannerCondition#1",0,0,1,8,"Ul'dah"
38,4,0,"ui/icon/198000/198009.tex",0,"BannerCondition#1",0,0,1,1,"Metall"
39,4,0,"ui/icon/198000/198010.tex",0,"BannerCondition#298",0,0,1,10,"Triple Triad EX"
40,4,0,"ui/icon/198000/198011.tex",0,"BannerCondition#298",0,0,1,9,"Triple Triad"
41,5,0,"ui/icon/199000/199002.tex",0,"BannerCondition#1",0,0,1,1,"Gil"
42,5,0,"ui/icon/199000/199003.tex",0,"BannerCondition#1",0,0,1,2,"Feder"
43,5,0,"ui/icon/199000/199004.tex",0,"BannerCondition#1",0,0,1,3,"Aufkleber"
44,5,0,"ui/icon/199000/199005.tex",0,"BannerCondition#1",0,0,1,4,"Karte"
45,5,0,"ui/icon/199000/199006.tex",0,"BannerCondition#1",0,0,1,5,"Schleife"
46,5,0,"ui/icon/199000/199007.tex",0,"BannerCondition#1",0,0,1,6,"Brief"
47,5,0,"ui/icon/199000/199008.tex",0,"BannerCondition#1",0,0,1,7,"Musiknote"
48,5,0,"ui/icon/199000/199009.tex",0,"BannerCondition#1",0,0,1,8,"Blumenstrauß"
