key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Model{Top},Model{Body},Model{Legs},GrandCompany,Icon{Head},Icon{Body},Icon{Legs},Order
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,int32,int32,int32,GrandCompany,Image,Image,Image,byte
0,"harnachement en cuir",0,"harnachements en cuir",0,0,1,0,0,"Harnachement en cuir",0,0,0,"None",,,,0
1,"harnachement du Maelstrom",0,"harnachements du Maelstrom",0,0,1,0,0,"Harnachement du Maelstrom",65538,65541,65538,"Maelstrom","ui/icon/049000/049049.tex","ui/icon/049000/049053.tex","ui/icon/049000/049051.tex",1
2,"demi-barde du Maelstrom",0,"demi-bardes du Maelstrom",0,0,1,1,0,"Demi-barde du Maelstrom",65542,65542,65542,"Maelstrom","ui/icon/049000/049001.tex","ui/icon/049000/049002.tex","ui/icon/049000/049003.tex",2
3,"barde du Maelstrom",0,"bardes du Maelstrom",0,0,1,1,0,"Barde du Maelstrom",131078,131078,131078,"Maelstrom","ui/icon/049000/049004.tex","ui/icon/049000/049005.tex","ui/icon/049000/049006.tex",3
4,"barde lourde du Maelstrom",0,"bardes lourde du Maelstrom",0,0,1,1,0,"Barde lourde du Maelstrom",196614,196614,196614,"Maelstrom","ui/icon/049000/049007.tex","ui/icon/049000/049008.tex","ui/icon/049000/049009.tex",4
5,"harnachement des Deux Vipères",0,"harnachements des Deux Vipères",0,0,1,0,0,"Harnachement des Deux Vipères",65538,131077,65538,"Order of the Twin Adder","ui/icon/049000/049049.tex","ui/icon/049000/049056.tex","ui/icon/049000/049051.tex",5
6,"demi-barde des Deux Vipères",0,"demi-bardes des Deux Vipères",0,0,1,1,0,"Demi-barde des Deux Vipères",65543,65543,65543,"Order of the Twin Adder","ui/icon/049000/049010.tex","ui/icon/049000/049011.tex","ui/icon/049000/049012.tex",6
7,"barde des Deux Vipères",0,"bardes des Deux Vipères",0,0,1,1,0,"Barde des Deux Vipères",131079,131079,131079,"Order of the Twin Adder","ui/icon/049000/049013.tex","ui/icon/049000/049014.tex","ui/icon/049000/049015.tex",7
8,"barde lourde des Deux Vipères",0,"bardes lourdes des Deux Vipères",0,0,1,1,0,"Barde lourde des Deux Vipères",196615,196615,196615,"Order of the Twin Adder","ui/icon/049000/049016.tex","ui/icon/049000/049017.tex","ui/icon/049000/049018.tex",8
9,"harnachement des Immortels",0,"harnachements des Immortels",0,0,1,0,0,"Harnachement des Immortels",65538,196613,65538,"Immortal Flames","ui/icon/049000/049049.tex","ui/icon/049000/049059.tex","ui/icon/049000/049051.tex",9
10,"demi-barde des Immortels",0,"demi-bardes des Immortels",0,0,1,1,0,"Demi-barde des Immortels",65544,65544,65544,"Immortal Flames","ui/icon/049000/049019.tex","ui/icon/049000/049020.tex","ui/icon/049000/049021.tex",10
11,"barde des Immortels",0,"bardes des Immortels",0,0,1,1,0,"Barde des Immortels",131080,131080,131080,"Immortal Flames","ui/icon/049000/049022.tex","ui/icon/049000/049023.tex","ui/icon/049000/049024.tex",11
12,"barde lourde des Immortels",0,"bardes lourde des Immortels",0,0,1,1,0,"Barde lourde des Immortels",196616,196616,196616,"Immortal Flames","ui/icon/049000/049025.tex","ui/icon/049000/049026.tex","ui/icon/049000/049027.tex",12
13,"barde de paladin",0,"bardes de paladin",0,0,1,1,0,"Barde de paladin",65546,65546,65546,"None","ui/icon/049000/049028.tex","ui/icon/049000/049029.tex","ui/icon/049000/049030.tex",13
14,"barde de chevalier dragon",0,"bardes de chevalier dragon",0,0,1,1,0,"Barde de chevalier dragon",65547,65547,65547,"None","ui/icon/049000/049031.tex","ui/icon/049000/049032.tex","ui/icon/049000/049033.tex",14
15,"barde de mage blanc",0,"bardes de mage blanc",0,0,1,1,0,"Barde de mage blanc",65549,65549,65549,"None","ui/icon/049000/049034.tex","ui/icon/049000/049035.tex","ui/icon/049000/049036.tex",15
16,"barde de Sleipnir",0,"bardes de Sleipnir",0,0,1,1,0,"Barde de Sleipnir",65550,65550,65550,"None","ui/icon/049000/049037.tex","ui/icon/049000/049038.tex","ui/icon/049000/049039.tex",171
17,"barde de béhémoth",0,"bardes de béhémoth",0,0,1,1,0,"Barde de béhémoth",65551,65551,65551,"None","ui/icon/049000/049040.tex","ui/icon/049000/049041.tex","ui/icon/049000/049042.tex",172
18,"chanfrein d'aviateur",0,"chanfreins d'aviateur",0,0,1,0,0,"Chanfrein d'aviateur",65555,0,0,"None","ui/icon/049000/049043.tex",,,51
19,"barde de mage noir",0,"bardes de mage noir",0,0,1,1,0,"Barde de mage noir",65548,65548,65548,"None","ui/icon/049000/049046.tex","ui/icon/049000/049047.tex","ui/icon/049000/049048.tex",21
20,"chanfrein du roi chocobo",0,"chanfreins du roi chocobo",0,0,1,0,0,"Chanfrein du roi chocobo",65553,0,0,"None","ui/icon/049000/049061.tex",,,52
21,"barde de la fête des étoiles",0,"bardes de la fête des étoiles",0,0,1,1,0,"Barde de la fête des étoiles",65540,65540,65540,"None","ui/icon/049000/049064.tex","ui/icon/049000/049065.tex","ui/icon/049000/049066.tex",101
