key,0,1,2,3,4,5,6,7
#,Image,Icon,,UnlockCondition,,,SortKey,Name
int32,Image,Image,byte,BannerCondition,uint16,uint16,uint16,str
0,,"ui/icon/082000/082092.tex",0,"BannerCondition#0",0,0,0,"Nichts"
1,"ui/icon/191000/191001.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,1,"Nichts"
2,"ui/icon/191000/191002.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,3,"Abgestuftes Schwarz"
3,"ui/icon/191000/191003.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,2,"Abgestuftes Weiß"
4,"ui/icon/191000/191004.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,7,"Schlichtes Weiß"
5,"ui/icon/191000/191005.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,5,"Schlichtes Silber"
6,"ui/icon/191000/191006.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,4,"Schlichtes Gold"
7,"ui/icon/191000/191007.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,10,"Archiv"
8,"ui/icon/191000/191008.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,8,"Schlichtes Beige"
9,"ui/icon/191000/191009.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,9,"Schlichte Prägung"
10,"ui/icon/191000/191010.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,20,"Antik"
11,"ui/icon/191000/191011.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,21,"Verzierte Ecken"
12,"ui/icon/191000/191301.tex","ui/icon/082000/082092.tex",2,"BannerCondition#124",0,0,2000,"Paladin"
13,"ui/icon/191000/191302.tex","ui/icon/082000/082092.tex",2,"BannerCondition#125",0,0,2001,"Krieger"
14,"ui/icon/191000/191303.tex","ui/icon/082000/082092.tex",2,"BannerCondition#126",0,0,2002,"Dunkelritter"
15,"ui/icon/191000/191304.tex","ui/icon/082000/082092.tex",2,"BannerCondition#127",0,0,2003,"Revolverklinge"
16,"ui/icon/191000/191305.tex","ui/icon/082000/082092.tex",2,"BannerCondition#128",0,0,2004,"Weißmagier"
17,"ui/icon/191000/191306.tex","ui/icon/082000/082092.tex",2,"BannerCondition#129",0,0,2005,"Gelehrter"
18,"ui/icon/191000/191307.tex","ui/icon/082000/082092.tex",2,"BannerCondition#130",0,0,2006,"Astrologe"
