key,0,1,2,3,4
#,Image,Icon,UnlockCondition,SortKey,Name
int32,Image,Image,BannerCondition,uint16,str
0,,"ui/icon/082000/082092.tex","BannerCondition#0",0,"Nichts"
1,"ui/icon/191000/191001.tex","ui/icon/082000/082092.tex","BannerCondition#1",1,"Nichts"
2,"ui/icon/191000/191002.tex","ui/icon/082000/082092.tex","BannerCondition#1",3,"Abgestuftes Schwarz"
3,"ui/icon/191000/191003.tex","ui/icon/082000/082092.tex","BannerCondition#1",2,"Abgestuftes Weiß"
4,"ui/icon/191000/191004.tex","ui/icon/082000/082092.tex","BannerCondition#1",7,"Schlichtes Weiß"
5,"ui/icon/191000/191005.tex","ui/icon/082000/082092.tex","BannerCondition#1",5,"Schlichtes Silber"
6,"ui/icon/191000/191006.tex","ui/icon/082000/082092.tex","BannerCondition#1",4,"Schlichtes Gold"
7,"ui/icon/191000/191007.tex","ui/icon/082000/082092.tex","BannerCondition#1",10,"Archiv"
8,"ui/icon/191000/191008.tex","ui/icon/082000/082092.tex","BannerCondition#1",8,"Schlichtes Beige"
9,"ui/icon/191000/191009.tex","ui/icon/082000/082092.tex","BannerCondition#1",9,"Schlichte Prägung"
10,"ui/icon/191000/191010.tex","ui/icon/082000/082092.tex","BannerCondition#1",20,"Antik"
11,"ui/icon/191000/191011.tex","ui/icon/082000/082092.tex","BannerCondition#1",21,"Verzierte Ecken"
12,"ui/icon/191000/191301.tex","ui/icon/082000/082092.tex","BannerCondition#124",2000,"Paladin"
13,"ui/icon/191000/191302.tex","ui/icon/082000/082092.tex","BannerCondition#125",2001,"Krieger"
14,"ui/icon/191000/191303.tex","ui/icon/082000/082092.tex","BannerCondition#126",2002,"Dunkelritter"
15,"ui/icon/191000/191304.tex","ui/icon/082000/082092.tex","BannerCondition#127",2003,"Revolverklinge"
16,"ui/icon/191000/191305.tex","ui/icon/082000/082092.tex","BannerCondition#128",2004,"Weißmagier"
17,"ui/icon/191000/191306.tex","ui/icon/082000/082092.tex","BannerCondition#129",2005,"Gelehrter"
18,"ui/icon/191000/191307.tex","ui/icon/082000/082092.tex","BannerCondition#130",2006,"Astrologe"
19,"ui/icon/191000/191308.tex","ui/icon/082000/082092.tex","BannerCondition#131",2007,"Weiser"
20,"ui/icon/191000/191309.tex","ui/icon/082000/082092.tex","BannerCondition#132",2008,"Mönch"
21,"ui/icon/191000/191310.tex","ui/icon/082000/082092.tex","BannerCondition#133",2009,"Dragoon"
22,"ui/icon/191000/191311.tex","ui/icon/082000/082092.tex","BannerCondition#134",2010,"Ninja"
23,"ui/icon/191000/191312.tex","ui/icon/082000/082092.tex","BannerCondition#135",2011,"Samurai"
