key,0,1,2,3,4
#,Name,HideOrder,Icon,Order,
int32,str,byte,Image,byte,bit&01
0,"",0,,0,False
1,"All",0,,0,False
2,"Locales I",0,"ui/icon/082000/082022.tex",1,False
3,"Dungeons I",0,"ui/icon/082000/082024.tex",11,False
4,"Trials",0,"ui/icon/082000/082027.tex",21,False
5,"Raids I",0,"ui/icon/082000/082025.tex",31,False
6,"Others",0,"ui/icon/082000/082029.tex",52,False
7,"Seasonal",1,"ui/icon/082000/082030.tex",61,False
8,"Online Store & Bonuses",1,"ui/icon/082000/082031.tex",71,True
9,"Locales II",0,"ui/icon/082000/082023.tex",2,False
10,"Raids II",0,"ui/icon/082000/082026.tex",32,False
11,"Ambient",0,"ui/icon/082000/082028.tex",41,False
12,"Dungeons II",0,"ui/icon/082000/082033.tex",12,False
13,"Quests",0,"ui/icon/082000/082036.tex",51,False
